pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
       5.91321144e-05, 2.42175514e-04, 5.37712922e-05, 6.16747898e-05,
       1.43373682e-04, 1.14690290e-04]), 'mean_score_time': array([0.00154791, 0.0012701 , 0.00141187, 0.00142698, 0.00149703,
       0.00152612, 0.00148225, 0.00154762, 0.00150704, 0.00164266,
       0.00161347, 0.00168314, 0.0016027 , 0.00175858, 0.00164456,
       0.00184941, 0.00187869, 0.0019722 , 0.00178804, 0.00196366,
       0.00180817, 0.00198936, 0.00181389, 0.00205102, 0.00189319,
       0.00239501, 0.00193133, 0.00516634, 0.00211654, 0.0023984 ,
       0.00208273, 0.00226312, 0.00208907, 0.00234356, 0.00205832,
       0.00237465, 0.00223265, 0.00244102, 0.00218792, 0.00266142,
       0.00242658, 0.00274272, 0.00244956, 0.00286188, 0.00239902,
       0.00283427, 0.00259123, 0.00283971, 0.00194569, 0.00271707]), 'std_score_time': array([4.46246790e-04, 8.27051198e-05, 1.10396751e-04, 1.43271467e-04,
       1.11682551e-04, 4.38381688e-05, 4.23314856e-05, 3.31524956e-05,
       8.75695570e-05, 5.26773212e-05, 6.95081716e-05, 4.23058569e-05,
       2.59376623e-05, 5.05107639e-05, 4.23756144e-05, 1.01123323e-04,
       1.79971850e-04, 1.35039744e-04, 6.18975407e-05, 1.26825902e-04,
       1.55692991e-05, 4.87734723e-05, 3.04672452e-05, 1.09947585e-04,
       9.32243596e-05, 6.78395617e-04, 1.74515886e-05, 3.46376651e-03,
       1.90288056e-04, 4.50961582e-04, 1.91920885e-05, 4.05968526e-05,
       5.11691819e-05, 5.36136752e-05, 6.13596964e-04, 8.98261733e-05,
       6.48054153e-05, 3.78581678e-05, 3.89977007e-05, 2.67365465e-04,
       1.84716302e-04, 9.72486442e-05, 7.82660182e-05, 5.37824641e-04,
       1.33400545e-04, 4.17289496e-04, 7.66374781e-05, 4.13749599e-05,
       3.08265299e-04, 4.44090414e-04]), 'param_n_neighbors': masked_array(data=[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9,
                   10, 10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16,
                   17, 17, 18, 18, 19, 19, 20, 20, 21, 21, 22, 22, 23, 23,
                   24, 24, 25, 25],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False],
       fill_value='?',
            dtype=object), 'param_weights': masked_array(data=['uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance', 'uniform', 'distance',
                   'uniform', 'distance'],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False],
       fill_value='?',
            dtype=object), 'params': [{'n_neighbors': 1, 'weights': 'uniform'}, {'n_neighbors': 1, 'weights': 'distance'}, {'n_neighbors': 2, 'weights': 'uniform'}, {'n_neighbors': 2, 'weights': 'distance'}, {'n_neighbors': 3, 'weights': 'uniform'}, {'n_neighbors': 3, 'weights': 'distance'}, {'n_neighbors': 4, 'weights': 'uniform'}, {'n_neighbors': 4, 'weights': 'distance'}, {'n_neighbors': 5, 'weights': 'uniform'}, {'n_neighbors': 5, 'weights': 'distance'}, {'n_neighbors': 6, 'weights': 'uniform'}, {'n_neighbors': 6, 'weights': 'distance'}, {'n_neighbors': 7, 'weights': 'uniform'}, {'n_neighbors': 7, 'weights': 'distance'}, {'n_neighbors': 8, 'weights': 'uniform'}, {'n_neighbors': 8, 'weights': 'distance'}, {'n_neighbors': 9, 'weights': 'uniform'}, {'n_neighbors': 9, 'weights': 'distance'}, {'n_neighbors': 10, 'weights': 'uniform'}, {'n_neighbors': 10, 'weights': 'distance'}, {'n_neighbors': 11, 'weights': 'uniform'}, {'n_neighbors': 11, 'weights': 'distance'}, {'n_neighbors': 12, 'weights': 'uniform'}, {'n_neighbors': 12, 'weights': 'distance'}, {'n_neighbors': 13, 'weights': 'uniform'}, {'n_neighbors': 13, 'weights': 'distance'}, {'n_neighbors': 14, 'weights': 'uniform'}, {'n_neighbors': 14, 'weights': 'distance'}, {'n_neighbors': 15, 'weights': 'uniform'}, {'n_neighbors': 15, 'weights': 'distance'}, {'n_neighbors': 16, 'weights': 'uniform'}, {'n_neighbors': 16, 'weights': 'distance'}, {'n_neighbors': 17, 'weights': 'uniform'}, {'n_neighbors': 17, 'weights': 'distance'}, {'n_neighbors': 18, 'weights': 'uniform'}, {'n_neighbors': 18, 'weights': 'distance'}, {'n_neighbors': 19, 'weights': 'uniform'}, {'n_neighbors': 19, 'weights': 'distance'}, {'n_neighbors': 20, 'weights': 'uniform'}, {'n_neighbors': 20, 'weights': 'distance'}, {'n_neighbors': 21, 'weights': 'uniform'}, {'n_neighbors': 21, 'weights': 'distance'}, {'n_neighbors': 22, 'weights': 'uniform'}, {'n_neighbors': 22, 'weights': 'distance'}, {'n_neighbors': 23, 'weights': 'uniform'}, {'n_neighbors': 23, 'weights': 'distance'}, {'n_neighbors': 24, 'weights': 'uniform'}, {'n_neighbors': 24, 'weights': 'distance'}, {'n_neighbors': 25, 'weights': 'uniform'}, {'n_neighbors': 25, 'weights': 'distance'}], 'split0_test_score': array([0.66777409, 0.66777409, 0.72093023, 0.66777409, 0.71428571,
       0.6910299 , 0.72425249, 0.70431894, 0.72757475, 0.71428571,
       0.73421927, 0.72093023, 0.73421927, 0.72093023, 0.74418605,
       0.72425249, 0.73754153, 0.72425249, 0.73754153, 0.72757475,
       0.74086379, 0.72757475, 0.74750831, 0.72757475, 0.74750831,
       0.72757475, 0.74750831, 0.73089701, 0.75415282, 0.73754153,
       0.75415282, 0.73421927, 0.75415282, 0.73754153, 0.75415282,
       0.73754153, 0.75415282, 0.73754153, 0.75415282, 0.74086379,
       0.75747508, 0.74418605, 0.75747508, 0.74750831, 0.75747508,
       0.74418605, 0.75747508, 0.74750831, 0.75747508, 0.74418605]), 'split1_test_score': array([0.68770764, 0.68770764, 0.73754153, 0.68770764, 0.71760797,
       0.70099668, 0.75747508, 0.71428571, 0.74750831, 0.7076412 ,
       0.75415282, 0.70431894, 0.74750831, 0.7076412 , 0.76079734,
       0.71760797, 0.75083056, 0.72425249, 0.76079734, 0.72757475,
       0.75747508, 0.72757475, 0.75415282, 0.73089701, 0.74750831,
       0.73421927, 0.75415282, 0.73754153, 0.75415282, 0.74086379,
       0.75415282, 0.73754153, 0.75415282, 0.73754153, 0.74750831,
       0.73754153, 0.74750831, 0.74418605, 0.74750831, 0.74418605,
       0.75083056, 0.74418605, 0.75083056, 0.74418605, 0.75083056,
       0.74418605, 0.75083056, 0.74418605, 0.75083056, 0.74418605]), 'split2_test_score': array([0.62      , 0.62      , 0.73      , 0.62      , 0.70333333,
       0.63      , 0.72666667, 0.64666667, 0.72666667, 0.65333333,
       0.74      , 0.66      , 0.73666667, 0.66      , 0.76      ,
       0.66      , 0.73666667, 0.66333333, 0.75333333, 0.66666667,
       0.75333333, 0.66666667, 0.74666667, 0.67333333, 0.75333333,
       0.67333333, 0.75666667, 0.67666667, 0.76      , 0.67666667,
       0.76      , 0.68666667, 0.76      , 0.68333333, 0.76      ,
       0.69333333, 0.76      , 0.69      , 0.76      , 0.69      ,
       0.76      , 0.68666667, 0.76      , 0.68333333, 0.76      ,
       0.69666667, 0.76      , 0.69333333, 0.76      , 0.7       ]), 'split3_test_score': array([0.66555184, 0.66555184, 0.75250836, 0.66555184, 0.71906355,
       0.6722408 , 0.76254181, 0.69230769, 0.75250836, 0.70568562,
       0.75919732, 0.71237458, 0.75919732, 0.72240803, 0.76588629,
       0.72909699, 0.76254181, 0.72909699, 0.76254181, 0.73244147,
       0.75919732, 0.73244147, 0.76254181, 0.72909699, 0.76254181,
       0.73244147, 0.75919732, 0.73913043, 0.75919732, 0.74247492,
       0.76254181, 0.7458194 , 0.76254181, 0.7458194 , 0.76254181,
       0.7458194 , 0.76254181, 0.74916388, 0.76254181, 0.74916388,
       0.76254181, 0.74916388, 0.76254181, 0.75250836, 0.76254181,
       0.75250836, 0.76254181, 0.75250836, 0.76254181, 0.7458194 ]), 'split4_test_score': array([0.66889632, 0.66889632, 0.7090301 , 0.66889632, 0.69899666,
       0.6722408 , 0.72240803, 0.6722408 , 0.69899666, 0.69230769,
       0.73578595, 0.69230769, 0.7090301 , 0.68896321, 0.75250836,
       0.69230769, 0.7458194 , 0.69565217, 0.76254181, 0.70234114,
       0.75585284, 0.70568562, 0.76588629, 0.70234114, 0.76254181,
       0.71237458, 0.76254181, 0.7090301 , 0.76254181, 0.70234114,
       0.75919732, 0.70234114, 0.76254181, 0.70234114, 0.76254181,
       0.70234114, 0.76254181, 0.70568562, 0.76254181, 0.70234114,
       0.76254181, 0.69899666, 0.76254181, 0.70568562, 0.76254181,
       0.7090301 , 0.76254181, 0.71237458, 0.76254181, 0.7090301 ]), 'mean_test_score': array([0.662     , 0.662     , 0.73      , 0.662     , 0.71066667,
       0.67333333, 0.73866667, 0.686     , 0.73066667, 0.69466667,
       0.74466667, 0.698     , 0.73733333, 0.7       , 0.75666667,
       0.70466667, 0.74666667, 0.70733333, 0.75533333, 0.71133333,
       0.75333333, 0.712     , 0.75533333, 0.71266667, 0.75466667,
       0.716     , 0.756     , 0.71866667, 0.758     , 0.72      ,
       0.758     , 0.72133333, 0.75866667, 0.72133333, 0.75733333,
       0.72333333, 0.75733333, 0.72533333, 0.75733333, 0.72533333,
       0.75866667, 0.72466667, 0.75866667, 0.72666667, 0.75866667,
       0.72933333, 0.75866667, 0.73      , 0.75866667, 0.72866667]), 'std_test_score': array([0.02245222, 0.02245222, 0.01471603, 0.02245222, 0.00801585,
       0.02434001, 0.01754412, 0.02414498, 0.018896  , 0.02186364,
       0.01010561, 0.02121247, 0.01666669, 0.02332367, 0.00756925,
       0.02567145, 0.00951669, 0.02497397, 0.00954082, 0.02469451,
       0.00653938, 0.02448703, 0.00775535, 0.022266  , 0.00675612,
       0.02267349, 0.00508052, 0.02358581, 0.00333731, 0.02622019,
       0.00333731, 0.02275535, 0.00381042, 0.02420013, 0.00579981,
       0.02120487, 0.00579981, 0.02326086, 0.00579981, 0.02424844,
       0.00435304, 0.02631888, 0.00435304, 0.02729782, 0.00435304,
       0.0221627 , 0.00435304, 0.02310186, 0.00435304, 0.01991296]), 'rank_test_score': array([48, 48, 23, 48, 40, 47, 20, 46, 22, 45, 19, 44, 21, 43, 12, 42, 18,
       41, 14, 39, 17, 38, 14, 37, 16, 36, 13, 35,  7, 34,  7, 32,  1, 32,
        9, 31,  9, 28,  9, 28,  1, 30,  1, 27,  1, 25,  1, 23,  1, 26],
      dtype=int32), 'split0_train_score': array([1.        , 1.        , 0.83152627, 1.        , 0.82151793,
       1.        , 0.79149291, 1.        , 0.7823186 , 1.        ,
       0.77314429, 1.        , 0.77397832, 1.        , 0.77397832,
       1.        , 0.77231026, 1.        , 0.76814012, 1.        ,
       0.76396997, 1.        , 0.76063386, 1.        , 0.75979983,
       1.        , 0.75729775, 1.        , 0.76063386, 1.        ,
       0.75979983, 1.        , 0.76063386, 1.        , 0.76063386,
       1.        , 0.76063386, 1.        , 0.76063386, 1.        ,
       0.76063386, 1.        , 0.76063386, 1.        , 0.76063386,
       1.        , 0.76063386, 1.        , 0.76063386, 1.        ]), 'split1_train_score': array([1.        , 1.        , 0.83903253, 1.        , 0.82568807,
       1.        , 0.79149291, 1.        , 0.7823186 , 1.        ,
       0.77147623, 1.        , 0.76730609, 1.        , 0.76396997,
       1.        , 0.764804  , 1.        , 0.76563803, 1.        ,
       0.764804  , 1.        , 0.76063386, 1.        , 0.7589658 ,
       1.        , 0.75979983, 1.        , 0.76063386, 1.        ,
       0.76063386, 1.        , 0.76146789, 1.        , 0.76230192,
       1.        , 0.76230192, 1.        , 0.76230192, 1.        ,
       0.76063386, 1.        , 0.76063386, 1.        , 0.76063386,
       1.        , 0.76063386, 1.        , 0.76063386, 1.        ]), 'split2_train_score': array([1.        , 1.        , 0.83166667, 1.        , 0.81083333,
       1.        , 0.7875    , 1.        , 0.78      , 1.        ,
       0.77833333, 1.        , 0.7775    , 1.        , 0.76416667,
       1.        , 0.76666667, 1.        , 0.76583333, 1.        ,
       0.76333333, 1.        , 0.7625    , 1.        , 0.76083333,
       1.        , 0.75666667, 1.        , 0.75916667, 1.        ,
       0.75916667, 1.        , 0.75916667, 1.        , 0.75916667,
       1.        , 0.75916667, 1.        , 0.75916667, 1.        ,
       0.75916667, 1.        , 0.76      , 1.        , 0.76      ,
       1.        , 0.76      , 1.        , 0.76      , 1.        ]), 'split3_train_score': array([1.        , 1.        , 0.82264779, 1.        , 0.81515404,
       1.        , 0.79017485, 1.        , 0.77518734, 1.        ,
       0.77102415, 1.        , 0.76769359, 1.        , 0.76769359,
       1.        , 0.76269775, 1.        , 0.76519567, 1.        ,
       0.76103247, 1.        , 0.75853455, 1.        , 0.75853455,
       1.        , 0.75603664, 1.        , 0.75770192, 1.        ,
       0.75853455, 1.        , 0.75686928, 1.        , 0.75853455,
       1.        , 0.75853455, 1.        , 0.75853455, 1.        ,
       0.75853455, 1.        , 0.75853455, 1.        , 0.75936719,
       1.        , 0.75936719, 1.        , 0.75936719, 1.        ]), 'split4_train_score': array([1.        , 1.        , 0.8459617 , 1.        , 0.82431307,
       1.        , 0.79683597, 1.        , 0.78767694, 1.        ,
       0.78351374, 1.        , 0.77268943, 1.        , 0.77019151,
       1.        , 0.76769359, 1.        , 0.76602831, 1.        ,
       0.76519567, 1.        , 0.76436303, 1.        , 0.76353039,
       1.        , 0.75936719, 1.        , 0.76019983, 1.        ,
       0.75770192, 1.        , 0.75853455, 1.        , 0.75853455,
       1.        , 0.75853455, 1.        , 0.75853455, 1.        ,
       0.75853455, 1.        , 0.75853455, 1.        , 0.75853455,
       1.        , 0.75853455, 1.        , 0.75936719, 1.        ]), 'mean_train_score': array([1.        , 1.        , 0.83416699, 1.        , 0.81950129,
       1.        , 0.79149933, 1.        , 0.7815003 , 1.        ,
       0.77549835, 1.        , 0.77183348, 1.        , 0.76800001,
       1.        , 0.76683445, 1.        , 0.76616709, 1.        ,
       0.76366709, 1.        , 0.76133306, 1.        , 0.76033278,
       1.        , 0.75783362, 1.        , 0.75966723, 1.        ,
       0.75916737, 1.        , 0.75933445, 1.        , 0.75983431,
       1.        , 0.75983431, 1.        , 0.75983431, 1.        ,
       0.7595007 , 1.        , 0.75966737, 1.        , 0.75983389,
       1.        , 0.75983389, 1.        , 0.76000042, 1.        ]), 'std_train_score': array([0.        , 0.        , 0.00785755, 0.        , 0.00564851,
       0.        , 0.00304068, 0.        , 0.00403966, 0.        ,
       0.00477538, 0.        , 0.00387501, 0.        , 0.00378345,
       0.        , 0.00322446, 0.        , 0.00102441, 0.        ,
       0.00146789, 0.        , 0.00196733, 0.        , 0.0017811 ,
       0.        , 0.00148969, 0.        , 0.00111941, 0.        ,
       0.00100981, 0.        , 0.00161153, 0.        , 0.00145278,
       0.        , 0.00145278, 0.        , 0.00145278, 0.        ,
       0.00095358, 0.        , 0.00095346, 0.        , 0.0008017 ,
       0.        , 0.0008017 , 0.        , 0.00056647, 0.        ])}","{'mean_fit_time': array([0.00149899]), 'std_fit_time': array([0.00028524]), 'mean_score_time': array([0.00033011]), 'std_score_time': array([4.4033943e-05]), 'params': [{}], 'split0_test_score': array([0.76079734]), 'split1_test_score': array([0.75083056]), 'split2_test_score': array([0.76]), 'split3_test_score': array([0.76588629]), 'split4_test_score': array([0.75919732]), 'mean_test_score': array([0.75933333]), 'std_test_score': array([0.00485694]), 'rank_test_score': array([1], dtype=int32), 'split0_train_score': array([0.7589658]), 'split1_train_score': array([0.76063386]), 'split2_train_score': array([0.75916667]), 'split3_train_score': array([0.75770192]), 'split4_train_score': array([0.75936719]), 'mean_train_score': array([0.75916709]), 'std_train_score': array([0.00093581])}","{'mean_fit_time': array([0.07423306, 0.04168448, 0.0463614 , 0.05390697, 0.07832594,
       0.07997098, 0.10038643, 0.14364729, 0.18256578, 0.25572567,
       0.03366046, 0.03696022, 0.04285254, 0.04626541, 0.05381389,
       0.07057467, 0.08477912, 0.09983816, 0.1358778 , 0.19240222,
       0.26060314, 0.03319445, 0.03702645, 0.04167242, 0.05058751,
       0.06028714, 0.07377443, 0.08554659, 0.10161929, 0.15592594,
       0.21006961, 0.25056195, 0.03698053, 0.03762865, 0.04302921,
       0.04916925, 0.06059718, 0.06860843, 0.08663626, 0.1108942 ,
       0.149405  , 0.19698195, 0.25670781, 0.03624563, 0.03902745,
       0.04346209, 0.05003433, 0.06014132, 0.07020645, 0.08514276,
       0.12026124, 0.15061913, 0.20513234, 0.26793656, 0.03718691,
       0.03964214, 0.04274268, 0.05093498, 0.05998707, 0.0695365 ,
       0.08194394, 0.11573071, 0.17034125, 0.19889655, 0.26327815,
       0.03762355, 0.04098067, 0.04437881, 0.05333548, 0.06099281,
       0.07021685, 0.08501902, 0.12467561, 0.15218973, 0.2055295 ,
       0.32914715, 0.03719673, 0.03888931, 0.04433212, 0.05342808,
       0.06245356, 0.07064991, 0.08704033, 0.11894298, 0.15953937,
       0.20769267, 0.3062542 , 0.03710289, 0.04062238, 0.0536355 ,
       0.0542716 , 0.06338477, 0.07200241, 0.08762088, 0.12982163,
       0.15993781, 0.21041441, 0.33864055, 0.03807831, 0.03922343,
       0.04398603, 0.05285406, 0.06395059, 0.07194414, 0.08975596,
       0.12432909, 0.16177487, 0.21942439, 0.32388082, 0.04180202,
       0.04764891, 0.04612966, 0.05423908, 0.06384597, 0.07190037,
       0.10020781, 0.13269081, 0.16205387, 0.21396837, 0.33595233,
       0.03790765, 0.04981432, 0.04623156, 0.05488095, 0.06435452,
       0.07341619, 0.10670071, 0.13045225, 0.16196651, 0.21619296,
       0.32672648, 0.03830371, 0.04609337, 0.04936957, 0.05691028,
       0.07371683, 0.07323179, 0.10217519, 0.13890538, 0.15710597,
       0.21242681, 0.34990396, 0.03848109, 0.04466782, 0.04764905,
       0.05352902, 0.0663693 , 0.07531748, 0.10068469, 0.13333797,
       0.15739403, 0.22179356, 0.33959231, 0.03857656, 0.04670348,
       0.04974442, 0.05866694, 0.0652493 , 0.09096742, 0.10966058,
       0.12864847, 0.16482167, 0.23516903, 0.24034014, 0.04368014,
       0.04791818, 0.04976063, 0.05497704, 0.06760893, 0.07636104,
       0.105899  , 0.12901134, 0.16385703, 0.22828012, 0.23647962,
       0.03961139, 0.04970403, 0.04954591, 0.06560254, 0.0677238 ,
       0.07640424, 0.10806899, 0.13276906, 0.15744133, 0.2220243 ,
       0.28226652, 0.03716216, 0.0490757 , 0.05520215, 0.05679102,
       0.06908035, 0.08677883, 0.1085772 , 0.13267121, 0.16693521,
       0.21455641, 0.29540334, 0.03676815, 0.04821739, 0.05969734,
       0.06174273, 0.07021098, 0.08112845, 0.1063159 , 0.13277683,
       0.15318551, 0.2043726 , 0.28237333, 0.03710971, 0.04741583,
       0.05598798, 0.06067085, 0.06846595, 0.08202024, 0.10652003,
       0.1318964 , 0.16289096, 0.20331283, 0.27454495, 0.03790603,
       0.05395598, 0.06227436, 0.06038656, 0.06824751, 0.08333206,
       0.10600185, 0.14093347, 0.16670961, 0.19285564, 0.23109188,
       0.04229674, 0.05018964, 0.06883268, 0.06084323, 0.0665451 ,
       0.09960837, 0.1060936 , 0.14131331, 0.16139951, 0.1961524 ,
       0.20952511, 0.03941226]), 'std_fit_time': array([0.03005945, 0.0004616 , 0.00308735, 0.00266359, 0.02006182,
       0.0047998 , 0.00345405, 0.02311036, 0.01766155, 0.01806008,
       0.00051739, 0.0006634 , 0.00137107, 0.00181192, 0.00243078,
       0.00191642, 0.01269412, 0.00270134, 0.01016738, 0.03212285,
       0.01548141, 0.00023224, 0.00090959, 0.00064517, 0.00362886,
       0.00423994, 0.00712743, 0.00760325, 0.00246831, 0.00921633,
       0.03057639, 0.01277972, 0.00340532, 0.00107965, 0.00067763,
       0.00322466, 0.00477326, 0.00177258, 0.01100002, 0.0171793 ,
       0.01085384, 0.02214143, 0.01496737, 0.0038333 , 0.00117158,
       0.00059672, 0.00214112, 0.00281578, 0.00279738, 0.00895922,
       0.01225212, 0.01130017, 0.0254787 , 0.02236196, 0.00363056,
       0.00250863, 0.00062669, 0.0033983 , 0.0031739 , 0.00062686,
       0.00670238, 0.00388607, 0.03149482, 0.02333982, 0.01832971,
       0.00366365, 0.00217319, 0.00132296, 0.00302265, 0.00330057,
       0.00216078, 0.00605416, 0.00873703, 0.01156576, 0.02926172,
       0.02314093, 0.00453073, 0.00155903, 0.00054947, 0.00314151,
       0.00335644, 0.00081409, 0.00656932, 0.00616886, 0.01866023,
       0.02383611, 0.01076806, 0.00349147, 0.00201797, 0.0144934 ,
       0.00302809, 0.00457231, 0.00218504, 0.00639794, 0.01955144,
       0.01551318, 0.02900042, 0.04030436, 0.0040696 , 0.00180899,
       0.00181023, 0.0029768 , 0.00518424, 0.00188228, 0.0065061 ,
       0.01070474, 0.01003617, 0.03517379, 0.02460225, 0.00834354,
       0.01068365, 0.00098491, 0.0043671 , 0.00321107, 0.00223198,
       0.00804541, 0.01181011, 0.02553657, 0.04370263, 0.01665796,
       0.00428112, 0.01369298, 0.00153163, 0.0032515 , 0.00425319,
       0.00172668, 0.01967217, 0.0095645 , 0.01268346, 0.03792979,
       0.01947509, 0.00382803, 0.00376855, 0.00311663, 0.00486666,
       0.01955705, 0.00178246, 0.00921079, 0.00894393, 0.0125379 ,
       0.02874692, 0.03968452, 0.00396397, 0.00264296, 0.00214045,
       0.00371403, 0.0082069 , 0.00323535, 0.00991461, 0.00789406,
       0.01380536, 0.03788901, 0.03798821, 0.00410708, 0.00182324,
       0.00325156, 0.00790102, 0.00542903, 0.0123086 , 0.00941581,
       0.00739839, 0.01287673, 0.03186548, 0.0194289 , 0.01157783,
       0.0024655 , 0.00355499, 0.00287133, 0.00616412, 0.00316051,
       0.00907182, 0.0078188 , 0.01395766, 0.02726395, 0.01447686,
       0.00341201, 0.00409802, 0.00218583, 0.01779863, 0.00553542,
       0.00303816, 0.00929096, 0.01373527, 0.01931496, 0.02769241,
       0.02871863, 0.00143031, 0.00328251, 0.0093339 , 0.00381424,
       0.00310022, 0.01885723, 0.0095118 , 0.01004732, 0.02144563,
       0.02070449, 0.02635669, 0.00105285, 0.00141883, 0.00471492,
       0.01052595, 0.00758832, 0.00515991, 0.00824008, 0.01259189,
       0.01080053, 0.02477233, 0.02937757, 0.00059393, 0.00109266,
       0.00582319, 0.00690097, 0.00821104, 0.00501311, 0.00972483,
       0.01085881, 0.02105003, 0.01260715, 0.02575571, 0.0006369 ,
       0.00592   , 0.00627858, 0.00502358, 0.00593404, 0.01006506,
       0.00879678, 0.00807485, 0.02174832, 0.01293472, 0.01404562,
       0.00306419, 0.00227522, 0.01662178, 0.00486623, 0.00521914,
       0.02991418, 0.00904284, 0.01257254, 0.02450216, 0.01824488,
       0.04805632, 0.00691736]), 'mean_score_time': array([0.00708995, 0.00704126, 0.00708928, 0.00745802, 0.00728302,
       0.007234  , 0.00718217, 0.00703259, 0.00700221, 0.00741005,
       0.00724421, 0.00627718, 0.00695086, 0.00699282, 0.0073905 ,
       0.00730505, 0.00713906, 0.00721602, 0.00699296, 0.00698018,
       0.00741529, 0.00718222, 0.00638204, 0.0069437 , 0.0071732 ,
       0.00743785, 0.00730486, 0.00907207, 0.00719023, 0.00750446,
       0.00682554, 0.00745339, 0.00714426, 0.00637879, 0.00698614,
       0.00713077, 0.0074604 , 0.00725403, 0.00693645, 0.00757999,
       0.00708752, 0.00887341, 0.00746655, 0.00717969, 0.00649447,
       0.00698929, 0.00718651, 0.00764956, 0.00734611, 0.00683961,
       0.0072679 , 0.0070498 , 0.00668745, 0.00770297, 0.0070106 ,
       0.00648732, 0.0070364 , 0.00707412, 0.00749922, 0.00736017,
       0.00687819, 0.00730376, 0.00722733, 0.00669479, 0.00746021,
       0.0071629 , 0.01099076, 0.00709038, 0.00716004, 0.00735312,
       0.00737987, 0.00686092, 0.00911827, 0.00716329, 0.00673203,
       0.00669708, 0.00709114, 0.00660739, 0.00702558, 0.00705948,
       0.00735235, 0.00729032, 0.00700893, 0.00730457, 0.00716023,
       0.00747218, 0.0065866 , 0.00704489, 0.00688047, 0.00862427,
       0.00711889, 0.00736394, 0.00744061, 0.00687337, 0.00729051,
       0.00740638, 0.00693307, 0.0065279 , 0.00706635, 0.0070015 ,
       0.00706258, 0.00713224, 0.00756264, 0.0072722 , 0.00691304,
       0.00738292, 0.00703588, 0.00695977, 0.00663023, 0.00783911,
       0.00693088, 0.00699039, 0.0071547 , 0.0074297 , 0.00741491,
       0.00731258, 0.00716753, 0.0071569 , 0.00686345, 0.00683622,
       0.00721326, 0.00676317, 0.00691924, 0.00711045, 0.00739598,
       0.0072793 , 0.00719428, 0.00720716, 0.00720739, 0.00691376,
